"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Percent of Fully Vaccinated Residents who Received a Booster Dose","Percent of Fully Vaccinated Staff who Received a Booster Dose","Date vaccination data last updated"
"475003","VT","98.5","100.0","97.0","88.0","03/20/2022"
"475008","VT","100.0","82.9","92.0","58.8","03/20/2022"
"475012","VT","93.3","99.4","89.2","62.4","03/20/2022"
"475014","VT","86.9","89.6","93.5","67.5","03/20/2022"
"475017","VT","98.9","91.6","94.3","24.2","03/20/2022"
"475018","VT","97.1","87.0","90.1","26.5","03/20/2022"
"475019","VT","97.1","85.1","100.0","67.4","03/20/2022"
"475020","VT","98.5","91.1","92.3","29.5","03/20/2022"
"475021","VT","89.3","99.1","88.0","45.4","03/20/2022"
"475023","VT","98.7","100.0","85.5","78.5","03/20/2022"
"475025","VT","88.0","99.0","63.6","43.8","03/20/2022"
"475026","VT","97.1","98.2","81.8","65.5","03/20/2022"
"475027","VT","85.2","86.0","78.3","41.9","03/20/2022"
"475029","VT","93.8","94.1","80.0","54.2","03/20/2022"
"475030","VT","95.7","100.0","81.8","66.4","03/20/2022"
"475032","VT","96.6","88.2","88.4","55.4","03/20/2022"
"475033","VT","95.5","100.0","78.1","28.7","03/20/2022"
"475036","VT","94.9","86.2","97.3","44.6","03/20/2022"
"475037","VT","96.3","99.2","90.9","60.0","03/20/2022"
"475039","VT","96.5","100.0","95.1","84.3","03/20/2022"
"475040","VT","100.0","99.0","96.3","63.0","03/20/2022"
"475042","VT","96.7","85.1","91.5","66.7","03/20/2022"
"475043","VT","100.0","92.6","96.4","58.0","03/20/2022"
"475044","VT","97.8","90.0","79.5","43.2","03/20/2022"
"475045","VT","97.0","96.4","92.2","68.9","03/20/2022"
"475046","VT","96.6","95.8","96.4","57.1","03/20/2022"
"475047","VT","100.0","98.3","100.0","89.9","03/20/2022"
"475049","VT","98.0","100.0","96.0","80.8","03/20/2022"
"475050","VT","97.2","90.8","97.1","97.1","03/20/2022"
"475052","VT","94.6","97.5","94.3","64.9","03/20/2022"
"475053","VT","100.0","100.0","94.1","61.4","03/20/2022"
"475055","VT","100.0","84.2","93.8","78.1","03/20/2022"
"475056","VT","100.0","99.6","100.0","86.1","03/20/2022"
"475057","VT","98.1","99.0","96.2","78.4","03/20/2022"
"475058","VT","100.0","97.3","100.0","43.8","03/20/2022"
"495002","VA","89.8","90.0","83.5","40.5","03/20/2022"
"495011","VA","93.7","97.2","89.2","58.1","03/20/2022"
"495013","VA","90.0","88.6","76.8","24.0","03/20/2022"
"495015","VA","99.5","99.1","97.4","63.6","03/20/2022"
"495019","VA","95.1","99.6","81.2","36.5","03/20/2022"
"495034","VA","97.6","99.4","95.0","57.4","03/20/2022"
"495038","VA","90.9","100.0","79.0","43.8","03/20/2022"
"495045","VA","98.2","87.2","59.0","37.8","03/20/2022"
"495046","VA","88.7","84.8","98.4","32.1","03/20/2022"
"495057","VA","100.0","100.0","100.0","62.6","03/20/2022"
"495068","VA","93.1","95.0","79.9","53.0","03/20/2022"
"495071","VA","93.8","89.4","80.2","51.3","03/20/2022"
"495077","VA","72.9","68.9","30.6","25.4","03/20/2022"
"495079","VA","94.9","100.0","100.0","21.3","03/20/2022"
"495085","VA","77.4","94.6","60.4","21.8","03/20/2022"
"495086","VA","86.9","93.3","67.1","60.7","03/20/2022"
"495087","VA","85.4","100.0","79.1","38.3","03/20/2022"
"495092","VA","92.2","90.7","85.1","44.1","03/20/2022"
"495093","VA","79.7","99.0","69.3","21.8","03/20/2022"
"495096","VA","97.9","96.7","97.8","68.5","03/20/2022"
"495097","VA","90.0","100.0","75.7","41.0","03/20/2022"
"495099","VA","95.6","84.6","0.0","0.0","03/20/2022"
"495102","VA","85.7","96.7","95.8","55.2","03/20/2022"
"495105","VA","86.9","93.8","57.9","2.2","03/20/2022"
"495107","VA","78.9","100.0","44.2","24.8","03/20/2022"
"495108","VA","95.2","99.7","81.4","23.0","03/20/2022"
"495109","VA","81.8","82.6","63.6","19.9","03/20/2022"
"495112","VA","84.5","99.0","69.9","28.1","03/20/2022"
"495113","VA","87.8","92.6","46.5","50.0","03/20/2022"
"495114","VA","94.9","75.4","10.9","0.0","03/20/2022"
"495115","VA","80.9","75.8","77.6","34.7","03/20/2022"
"495117","VA","93.7","98.7","69.1","36.0","03/20/2022"
"495118","VA","79.1","98.9","83.8","42.7","03/20/2022"
"495120","VA","98.9","94.9","96.8","55.3","03/20/2022"
"495121","VA","95.3","100.0","42.9","50.0","03/20/2022"
"495123","VA","89.5","92.3","90.1","61.4","03/20/2022"
"495126","VA","77.2","90.0","84.1","35.2","03/20/2022"
"495127","VA","97.7","99.6","91.9","88.3","03/20/2022"
"495131","VA","93.2","94.6","87.5","31.4","03/20/2022"
"495133","VA","93.3","94.2","84.5","41.4","03/20/2022"
"495134","VA","83.5","97.4","71.1","13.5","03/20/2022"
"495135","VA","84.7","87.8","66.4","49.0","03/20/2022"
"495139","VA","92.5","94.0","94.2","69.7","03/20/2022"
"495140","VA","95.1","100.0","28.9","2.2","03/20/2022"
"495141","VA","92.8","100.0","76.6","29.6","03/20/2022"
"495142","VA","91.1","93.8","84.8","41.7","03/20/2022"
"495143","VA","70.3","98.7","60.9","16.2","03/20/2022"
"495144","VA","90.9","100.0","95.6","31.1","03/20/2022"
"495146","VA","78.8","85.7","53.8","1.3","03/20/2022"
"495147","VA","68.8","93.7","63.6","33.8","03/20/2022"
"495149","VA","98.8","100.0","53.8","5.3","03/20/2022"
"495150","VA","90.4","98.1","76.5","25.0","03/20/2022"
"495151","VA","87.5","96.1","63.5","6.2","03/20/2022"
"495152","VA","88.0","82.6","83.8","45.5","03/20/2022"
"495153","VA","93.0","84.8","91.7","31.7","03/20/2022"
"495155","VA","76.7","94.7","50.0","49.4","03/20/2022"
"495156","VA","84.5","89.7","65.3","21.2","03/20/2022"
"495157","VA","97.7","98.3","95.3","41.6","03/20/2022"
"495160","VA","100.0","90.5","100.0","59.8","03/20/2022"
"495165","VA","100.0","100.0","91.1","27.4","03/20/2022"
"495166","VA","82.9","100.0","100.0","26.2","03/20/2022"
"495167","VA","0.0","73.7","0.0","21.4","03/20/2022"
"495168","VA","88.7","97.1","66.7","16.0","03/20/2022"
"495171","VA","100.0","100.0","100.0","81.3","03/20/2022"
"495173","VA","85.6","97.6","91.0","30.5","03/20/2022"
"495174","VA","86.6","98.6","76.2","64.4","03/20/2022"
"495177","VA","93.8","97.5","81.3","20.9","03/20/2022"
"495178","VA","94.8","100.0","87.0","47.8","03/20/2022"
"495179","VA","94.1","99.5","82.5","34.7","03/20/2022"
"495181","VA","75.0","94.6","33.3","20.0","03/20/2022"
"495183","VA","100.0","97.3","95.7","54.0","03/20/2022"
"495184","VA","100.0","98.3","97.7","44.3","03/20/2022"
"495185","VA","82.7","96.8","65.1","88.3","03/20/2022"
"495186","VA","98.1","97.8","91.5","90.6","03/20/2022"
"495187","VA","93.9","98.4","87.0","39.3","03/20/2022"
"495188","VA","98.1","100.0","59.6","5.0","03/20/2022"
"495189","VA","93.0","100.0","83.0","35.5","03/20/2022"
"495190","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495191","VA","86.0","90.4","77.6","54.3","03/20/2022"
"495192","VA","91.5","91.3","79.6","23.2","03/20/2022"
"495193","VA","83.2","97.6","1.2","3.6","03/20/2022"
"495194","VA","87.6","91.8","78.2","13.5","03/20/2022"
"495196","VA","91.9","93.8","86.8","25.6","03/20/2022"
"495197","VA","100.0","100.0","93.2","93.5","03/20/2022"
"495199","VA","94.2","95.7","83.7","52.7","03/20/2022"
"495200","VA","70.0","100.0","76.2","21.3","03/20/2022"
"495201","VA","85.1","83.5","80.2","25.4","03/20/2022"
"495202","VA","86.6","100.0","76.2","31.4","03/20/2022"
"495203","VA","93.8","100.0","96.7","70.9","03/20/2022"
"495204","VA","95.7","100.0","91.0","100.0","03/20/2022"
"495205","VA","81.0","99.5","76.5","68.0","03/20/2022"
"495206","VA","98.9","100.0","100.0","97.6","03/20/2022"
"495207","VA","88.6","95.5","81.2","25.0","03/20/2022"
"495209","VA","94.3","97.9","100.0","35.8","03/20/2022"
"495210","VA","80.9","98.1","53.7","17.7","03/20/2022"
"495211","VA","91.7","98.6","83.0","38.7","03/20/2022"
"495213","VA","78.0","100.0","66.7","26.3","03/20/2022"
"495214","VA","100.0","98.6","100.0","20.5","03/20/2022"
"495215","VA","83.7","96.2","69.5","55.1","03/20/2022"
"495216","VA","74.8","100.0","77.5","7.8","03/20/2022"
"495217","VA","88.3","97.7","72.8","30.5","03/20/2022"
"495218","VA","72.2","82.0","56.4","35.0","03/20/2022"
"495220","VA","96.7","94.4","77.6","76.5","03/20/2022"
"495221","VA","95.4","93.1","79.5","41.0","03/20/2022"
"495225","VA","100.0","97.3","91.7","94.5","03/20/2022"
"495226","VA","88.6","88.2","89.7","36.0","03/20/2022"
"495227","VA","90.1","91.4","83.0","31.6","03/20/2022"
"495230","VA","93.2","88.0","80.0","21.0","03/20/2022"
"495232","VA","78.5","100.0","75.8","43.9","03/20/2022"
"495233","VA","96.4","94.4","68.5","41.8","03/20/2022"
"495234","VA","92.1","100.0","0.0","0.0","03/20/2022"
"495235","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495236","VA","94.4","93.5","86.6","43.0","03/20/2022"
"495237","VA","90.1","100.0","75.2","42.4","03/20/2022"
"495240","VA","92.5","100.0","86.7","8.5","03/20/2022"
"495241","VA","69.6","97.8","47.4","27.6","03/20/2022"
"495242","VA","86.2","90.2","68.0","41.3","03/20/2022"
"495243","VA","85.3","85.7","82.8","35.0","03/20/2022"
"495244","VA","87.0","100.0","88.3","56.8","03/20/2022"
"495246","VA","79.2","98.5","88.1","34.1","03/20/2022"
"495247","VA","92.3","81.7","64.8","20.4","03/20/2022"
"495248","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495249","VA","82.6","97.8","85.9","25.8","03/20/2022"
"495250","VA","68.2","98.6","77.8","26.0","03/20/2022"
"495252","VA","94.2","89.9","79.6","41.4","03/20/2022"
"495253","VA","89.7","99.5","80.5","6.0","03/20/2022"
"495254","VA","100.0","100.0","77.3","96.1","03/20/2022"
"495255","VA","90.2","97.0","34.7","42.7","03/20/2022"
"495256","VA","87.6","100.0","88.5","51.0","03/20/2022"
"495257","VA","90.8","84.7","86.4","42.6","03/20/2022"
"495258","VA","91.9","98.8","81.0","42.7","03/20/2022"
"495259","VA","88.7","93.3","76.6","40.0","03/20/2022"
"495260","VA","90.5","97.9","62.8","25.2","03/20/2022"
"495261","VA","99.3","99.1","98.6","91.0","03/20/2022"
"495262","VA","98.6","100.0","97.2","70.3","03/20/2022"
"495264","VA","85.7","100.0","79.2","23.5","03/20/2022"
"495266","VA","83.7","100.0","92.0","38.8","03/20/2022"
"495267","VA","95.9","91.3","71.8","24.8","03/20/2022"
"495268","VA","94.5","98.8","88.5","25.0","03/20/2022"
"495269","VA","100.0","100.0","70.4","81.4","03/20/2022"
"495270","VA","85.3","100.0","72.8","33.3","03/20/2022"
"495272","VA","92.2","94.1","77.9","45.1","03/20/2022"
"495273","VA","86.7","85.6","50.6","31.2","03/20/2022"
"495274","VA","95.1","94.8","87.7","68.0","03/20/2022"
"495275","VA","96.7","98.7","86.5","61.8","03/20/2022"
"495276","VA","97.5","95.7","95.8","60.0","03/20/2022"
"495277","VA","74.2","100.0","25.0","25.4","03/20/2022"
"495279","VA","89.4","98.9","72.9","44.0","03/20/2022"
"495280","VA","100.0","94.0","100.0","100.0","03/20/2022"
"495282","VA","98.6","100.0","67.1","49.1","03/20/2022"
"495283","VA","95.4","84.0","5.8","4.4","03/20/2022"
"495286","VA","0.0","0.0","0.0","0.0","03/20/2022"
"495287","VA","93.3","99.0","89.3","12.9","03/20/2022"
"495288","VA","68.0","100.0","0.0","0.0","03/20/2022"
"495291","VA","94.7","96.8","94.4","78.8","03/20/2022"
"495293","VA","91.3","100.0","77.8","42.3","03/20/2022"
"495294","VA","89.4","100.0","71.4","58.4","03/20/2022"
"495295","VA","91.3","100.0","58.0","35.4","03/20/2022"
"495296","VA","93.8","100.0","38.7","0.0","03/20/2022"
"495297","VA","96.5","98.1","78.4","33.3","03/20/2022"
"495299","VA","86.4","99.1","15.8","2.7","03/20/2022"
"495300","VA","87.1","88.9","30.9","22.2","03/20/2022"
"495301","VA","92.3","89.0","75.0","40.7","03/20/2022"
"495302","VA","96.2","100.0","92.0","59.5","03/20/2022"
"495303","VA","87.9","91.9","84.3","17.7","03/20/2022"
"495305","VA","90.1","96.9","75.4","51.2","03/20/2022"
"495306","VA","87.2","91.0","90.5","30.5","03/20/2022"
"495308","VA","81.1","95.3","62.3","32.5","03/20/2022"
"495309","VA","83.7","100.0","58.5","41.7","03/20/2022"
"495311","VA","100.0","92.6","100.0","40.4","03/20/2022"
"495312","VA","100.0","100.0","78.1","69.2","03/20/2022"
"495315","VA","69.0","69.2","68.3","6.7","03/20/2022"
"495316","VA","86.2","95.9","87.7","26.7","03/20/2022"
"495317","VA","96.2","97.5","90.2","59.5","03/20/2022"
"495318","VA","89.1","94.4","75.6","30.7","03/20/2022"
"495319","VA","95.7","100.0","54.5","11.6","03/20/2022"
"495320","VA","86.2","86.0","49.3","30.6","03/20/2022"
"495321","VA","87.9","82.2","78.4","26.5","03/20/2022"
"495323","VA","89.8","91.5","90.6","49.3","03/20/2022"
"495324","VA","97.6","92.4","90.0","40.0","03/20/2022"
"495325","VA","89.1","100.0","67.1","11.9","03/20/2022"
"495326","VA","94.1","91.4","92.9","64.1","03/20/2022"
"495327","VA","85.0","84.2","54.6","59.4","03/20/2022"
"495328","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495330","VA","89.0","85.4","100.0","0.0","03/20/2022"
"495331","VA","74.8","71.6","82.6","23.8","03/20/2022"
"495332","VA","83.3","90.3","96.7","47.7","03/20/2022"
"495333","VA","86.7","94.1","58.6","62.5","03/20/2022"
"495334","VA","93.4","90.7","89.9","31.9","03/20/2022"
"495336","VA","96.3","99.1","82.1","61.6","03/20/2022"
"495337","VA","90.8","100.0","70.7","64.6","03/20/2022"
"495338","VA","78.7","78.8","76.3","29.8","03/20/2022"
"495339","VA","84.3","79.0","58.2","7.7","03/20/2022"
"495340","VA","86.4","94.9","77.5","33.8","03/20/2022"
"495342","VA","94.3","95.0","86.4","50.5","03/20/2022"
"495343","VA","94.0","100.0","20.6","16.3","03/20/2022"
"495344","VA","72.9","76.4","50.0","17.7","03/20/2022"
"495345","VA","89.6","85.1","89.9","47.4","03/20/2022"
"495347","VA","92.6","96.7","88.6","62.9","03/20/2022"
"495348","VA","90.5","78.7","76.3","35.1","03/20/2022"
"495349","VA","95.9","70.3","36.6","33.7","03/20/2022"
"495350","VA","93.6","81.1","97.7","78.9","03/20/2022"
"495352","VA","79.0","97.1","79.5","45.9","03/20/2022"
"495353","VA","81.2","83.8","73.2","18.4","03/20/2022"
"495354","VA","91.2","96.4","98.1","54.8","03/20/2022"
"495355","VA","82.2","98.1","79.5","43.4","03/20/2022"
"495356","VA","89.0","90.4","80.2","41.0","03/20/2022"
"495357","VA","76.1","97.8","72.5","21.5","03/20/2022"
"495358","VA","91.5","98.9","90.7","93.1","03/20/2022"
"495359","VA","96.7","90.4","98.3","41.9","03/20/2022"
"495360","VA","92.7","95.9","98.0","63.4","03/20/2022"
"495361","VA","87.0","92.6","64.9","24.1","03/20/2022"
"495362","VA","78.6","74.1","53.5","21.0","03/20/2022"
"495363","VA","78.4","88.5","62.5","13.0","03/20/2022"
"495364","VA","88.9","94.4","96.9","33.3","03/20/2022"
"495365","VA","93.3","94.5","94.6","55.3","03/20/2022"
"495366","VA","100.0","100.0","94.1","69.0","03/20/2022"
"495367","VA","89.3","86.3","86.0","46.4","03/20/2022"
"495368","VA","88.1","98.8","89.2","71.6","03/20/2022"
"495369","VA","96.4","92.2","75.9","56.9","03/20/2022"
"495370","VA","97.5","87.0","93.2","56.7","03/20/2022"
"495371","VA","91.8","84.7","74.3","32.0","03/20/2022"
"495372","VA","79.8","98.4","89.6","37.4","03/20/2022"
"495373","VA","100.0","98.4","95.0","30.0","03/20/2022"
"495374","VA","95.7","88.9","77.3","23.2","03/20/2022"
"495375","VA","81.7","94.8","90.6","18.2","03/20/2022"
"495377","VA","91.5","95.0","93.5","81.2","03/20/2022"
"495378","VA","81.4","99.3","73.5","25.9","03/20/2022"
"495379","VA","92.6","98.2","92.0","47.3","03/20/2022"
"495380","VA","84.0","96.6","78.7","39.7","03/20/2022"
"495381","VA","83.9","94.8","74.4","31.3","03/20/2022"
"495383","VA","88.7","89.2","87.2","53.5","03/20/2022"
"495384","VA","98.3","90.8","86.2","50.0","03/20/2022"
"495385","VA","95.2","93.0","91.1","24.7","03/20/2022"
"495386","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495387","VA","97.0","97.1","100.0","45.3","03/20/2022"
"495388","VA","87.4","92.6","82.5","31.2","03/20/2022"
"495389","VA","89.7","86.3","67.3","25.6","03/20/2022"
"495390","VA","97.0","100.0","91.5","55.5","03/20/2022"
"495391","VA","82.2","87.2","88.7","92.6","03/20/2022"
"495392","VA","90.0","96.7","79.6","52.5","03/20/2022"
"495393","VA","97.2","91.7","89.1","45.8","03/20/2022"
"495394","VA","86.0","94.5","52.9","63.7","03/20/2022"
"495395","VA","100.0","100.0","92.0","86.3","03/20/2022"
"495396","VA","93.4","98.8","86.6","53.0","03/20/2022"
"495397","VA","100.0","94.2","89.6","42.5","03/20/2022"
"495398","VA","90.0","98.9","81.5","52.3","03/20/2022"
"495399","VA","77.0","98.2","78.9","18.5","03/20/2022"
"495400","VA","100.0","95.3","95.7","32.5","03/20/2022"
"495401","VA","91.5","100.0","80.0","23.4","03/20/2022"
"495402","VA","100.0","100.0","80.0","90.9","03/20/2022"
"495403","VA","92.9","98.8","74.4","18.8","03/20/2022"
"495404","VA","90.0","93.8","81.5","100.0","03/20/2022"
"495405","VA","94.4","94.5","94.1","76.9","03/20/2022"
"495406","VA","88.2","90.6","71.1","23.4","03/20/2022"
"495407","VA","96.0","99.2","90.3","51.2","03/20/2022"
"495408","VA","100.0","86.9","92.3","38.4","03/20/2022"
"495409","VA","86.9","98.6","76.3","44.9","03/20/2022"
"495410","VA","97.7","97.0","90.5","30.6","03/20/2022"
"495411","VA","90.8","96.2","92.8","10.2","03/20/2022"
"495412","VA","97.5","93.9","87.0","37.0","03/20/2022"
"495413","VA","90.7","98.5","77.4","11.1","03/20/2022"
"495415","VA","100.0","91.8","94.4","33.9","03/20/2022"
"495416","VA","97.5","95.2","92.3","45.8","03/20/2022"
"495417","VA","65.3","77.5","57.6","23.4","03/20/2022"
"495418","VA","85.2","99.3","71.4","22.3","03/20/2022"
"495419","VA","100.0","92.0","96.3","0.0","03/20/2022"
"495420","VA","96.2","100.0","66.0","3.1","03/20/2022"
"495421","VA","87.2","90.1","90.8","48.6","03/20/2022"
"495422","VA","84.1","100.0","84.1","16.7","03/20/2022"
"495423","VA","78.5","96.0","80.0","20.6","03/20/2022"
"495424","VA","93.6","98.4","76.7","50.8","03/20/2022"
"495425","VA","62.4","80.0","52.8","33.3","03/20/2022"
"495426","VA","87.3","95.8","98.5","54.9","03/20/2022"
"495427","VA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"495428","VA","96.2","100.0","88.0","21.5","03/20/2022"
"495429","VA","92.6","85.6","84.0","45.5","03/20/2022"
"495430","VA","96.4","94.4","90.6","55.3","03/20/2022"
"49A007","VA","96.7","99.3","96.6","57.4","03/20/2022"
"49A022","VA","95.2","93.5","65.0","49.7","03/20/2022"
"49E004","VA","96.7","84.4","98.3","26.3","03/20/2022"
"49E050","VA","86.1","67.1","100.0","47.2","03/20/2022"
"49E075","VA","96.5","93.9","96.4","34.6","03/20/2022"
"49E076","VA","100.0","100.0","40.5","35.4","03/20/2022"
"49E084","VA","100.0","99.3","98.5","52.3","03/20/2022"
"49E131","VA","94.1","83.0","87.5","53.0","03/20/2022"
"49E256","VA","100.0","99.3","92.3","42.6","03/20/2022"
"505004","WA","92.9","97.8","86.1","60.7","03/20/2022"
"505009","WA","95.2","94.4","90.0","44.9","03/20/2022"
"505010","WA","94.0","93.5","73.0","34.0","03/20/2022"
"505016","WA","93.8","93.8","64.4","41.3","03/20/2022"
"505017","WA","92.1","100.0","84.6","55.2","03/20/2022"
"505024","WA","75.4","89.7","56.5","31.7","03/20/2022"
"505027","WA","100.0","99.4","89.7","65.9","03/20/2022"
"505033","WA","100.0","85.6","100.0","38.6","03/20/2022"
"505042","WA","90.0","99.1","67.9","52.2","03/20/2022"
"505059","WA","97.9","93.3","100.0","61.3","03/20/2022"
"505070","WA","86.0","87.8","59.5","16.7","03/20/2022"
"505074","WA","79.2","96.2","91.2","62.0","03/20/2022"
"505075","WA","88.6","83.7","66.1","16.7","03/20/2022"
"505080","WA","82.6","92.2","73.7","59.6","03/20/2022"
"505081","WA","89.4","98.2","92.9","57.1","03/20/2022"
"505085","WA","88.7","81.4","95.7","51.4","03/20/2022"
"505086","WA","88.6","100.0","82.3","47.9","03/20/2022"
"505092","WA","91.2","100.0","69.2","67.4","03/20/2022"
"505093","WA","62.4","90.8","47.9","2.9","03/20/2022"
"505096","WA","85.7","93.2","75.0","21.7","03/20/2022"
"505098","WA","96.7","97.9","79.3","40.2","03/20/2022"
"505099","WA","98.4","84.1","75.8","42.2","03/20/2022"
"505114","WA","92.1","91.2","84.5","10.8","03/20/2022"
"505123","WA","100.0","83.3","100.0","100.0","03/20/2022"
"505126","WA","96.0","93.1","87.5","21.0","03/20/2022"
"505128","WA","89.3","92.6","64.2","16.0","03/20/2022"
"505140","WA","92.9","100.0","84.6","23.4","03/20/2022"
"505151","WA","96.3","77.7","92.3","31.5","03/20/2022"
"505154","WA","89.7","88.8","80.8","22.9","03/20/2022"
"505181","WA","80.9","96.6","87.3","50.0","03/20/2022"
"505182","WA","98.8","99.8","92.8","94.0","03/20/2022"
"505183","WA","42.1","90.5","0.0","0.0","03/20/2022"
"505185","WA","91.1","91.6","95.8","30.3","03/20/2022"
"505188","WA","85.7","94.7","84.7","44.4","03/20/2022"
"505195","WA","87.7","97.4","82.5","100.0","03/20/2022"
"505202","WA","87.6","94.3","91.8","14.4","03/20/2022"
"505204","WA","97.1","100.0","87.9","72.5","03/20/2022"
"505206","WA","83.1","86.4","71.0","32.6","03/20/2022"
"505210","WA","88.1","93.5","71.2","42.6","03/20/2022"
"505211","WA","75.7","95.3","66.0","26.7","03/20/2022"
"505216","WA","100.0","98.7","59.4","24.3","03/20/2022"
"505217","WA","91.8","87.4","86.6","48.3","03/20/2022"
"505223","WA","92.6","94.7","82.0","60.0","03/20/2022"
"505226","WA","88.9","87.0","70.8","27.7","03/20/2022"
"505230","WA","89.1","96.3","93.0","30.8","03/20/2022"
"505232","WA","90.3","98.6","96.4","84.3","03/20/2022"
"505236","WA","90.2","98.0","70.3","60.4","03/20/2022"
"505239","WA","86.6","88.3","85.9","36.8","03/20/2022"
"505240","WA","89.1","95.3","29.8","19.8","03/20/2022"
"505243","WA","91.5","96.8","90.7","54.2","03/20/2022"
"505246","WA","90.9","88.7","65.0","34.0","03/20/2022"
"505251","WA","88.2","89.6","86.7","20.3","03/20/2022"
"505252","WA","86.4","98.4","77.1","37.7","03/20/2022"
"505254","WA","81.2","100.0","75.0","50.9","03/20/2022"
"505255","WA","90.9","73.1","85.0","39.5","03/20/2022"
"505257","WA","66.7","78.0","63.3","12.8","03/20/2022"
"505260","WA","75.0","80.9","40.7","49.1","03/20/2022"
"505261","WA","71.4","83.9","40.0","12.8","03/20/2022"
"505262","WA","88.9","87.6","85.0","42.4","03/20/2022"
"505263","WA","89.3","82.1","86.0","40.0","03/20/2022"
"505264","WA","83.5","95.4","69.0","26.0","03/20/2022"
"505265","WA","91.8","88.9","92.5","35.4","03/20/2022"
"505269","WA","81.6","92.7","66.2","14.2","03/20/2022"
"505270","WA","95.3","99.1","79.0","41.4","03/20/2022"
"505272","WA","92.5","95.7","87.8","63.6","03/20/2022"
"505273","WA","78.6","78.4","84.1","51.3","03/20/2022"
"505275","WA","83.7","58.4","80.5","31.1","03/20/2022"
"505276","WA","91.4","95.9","100.0","50.0","03/20/2022"
"505280","WA","87.2","96.2","64.7","46.1","03/20/2022"
"505283","WA","91.4","81.5","94.3","57.6","03/20/2022"
"505289","WA","85.2","97.1","84.0","20.0","03/20/2022"
"505290","WA","93.6","94.9","93.2","52.4","03/20/2022"
"505294","WA","88.5","87.6","83.3","47.2","03/20/2022"
"505296","WA","88.6","85.1","76.9","32.6","03/20/2022"
"505299","WA","92.3","84.3","78.6","44.0","03/20/2022"
"505303","WA","91.4","96.6","84.4","28.6","03/20/2022"
"505304","WA","84.7","65.8","95.2","60.1","03/20/2022"
"505306","WA","95.5","100.0","69.0","60.4","03/20/2022"
"505309","WA","92.2","94.4","74.5","56.5","03/20/2022"
"505311","WA","89.7","98.5","78.2","35.6","03/20/2022"
"505313","WA","80.2","97.9","67.9","47.2","03/20/2022"
"505315","WA","86.6","97.7","93.1","56.5","03/20/2022"
"505318","WA","86.1","92.6","91.9","38.4","03/20/2022"
"505319","WA","93.0","99.3","82.8","53.7","03/20/2022"
"505320","WA","85.5","83.2","52.5","16.5","03/20/2022"
"505322","WA","82.4","80.5","70.0","7.1","03/20/2022"
"505324","WA","97.1","95.8","87.9","77.4","03/20/2022"
"505325","WA","86.0","97.9","81.1","34.0","03/20/2022"
"505326","WA","89.0","100.0","66.7","0.8","03/20/2022"
"505327","WA","82.4","87.6","86.9","43.3","03/20/2022"
"505329","WA","82.4","65.4","78.6","45.1","03/20/2022"
"505331","WA","84.4","80.4","84.2","25.6","03/20/2022"
"505334","WA","89.7","98.6","91.4","47.2","03/20/2022"
"505338","WA","91.1","95.8","95.1","51.5","03/20/2022"
"505339","WA","92.7","89.9","74.5","23.9","03/20/2022"
"505341","WA","86.4","85.9","66.7","54.4","03/20/2022"
"505344","WA","92.3","93.9","60.0","31.5","03/20/2022"
"505346","WA","87.8","87.8","86.0","26.9","03/20/2022"
"505347","WA","65.7","80.0","58.7","11.8","03/20/2022"
"505348","WA","88.0","85.1","84.8","35.8","03/20/2022"
"505349","WA","96.9","73.4","90.3","29.8","03/20/2022"
"505350","WA","85.0","87.0","94.1","39.0","03/20/2022"
"505351","WA","92.0","100.0","87.0","60.0","03/20/2022"
"505355","WA","84.7","97.7","66.0","31.0","03/20/2022"
"505358","WA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"505361","WA","89.6","74.2","83.7","60.9","03/20/2022"
"505362","WA","93.2","94.6","97.6","47.1","03/20/2022"
"505367","WA","82.0","85.7","62.0","18.2","03/20/2022"
"505369","WA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"505371","WA","90.9","95.7","90.0","27.0","03/20/2022"
"505372","WA","92.1","92.2","88.6","25.4","03/20/2022"
"505373","WA","72.4","72.0","52.7","29.2","03/20/2022"
"505376","WA","98.2","96.3","85.7","61.8","03/20/2022"
"505379","WA","84.5","75.5","79.3","17.6","03/20/2022"
"505382","WA","92.9","94.3","94.9","53.0","03/20/2022"
"505383","WA","81.5","73.2","52.0","76.1","03/20/2022"
"505386","WA","88.2","93.9","100.0","71.7","03/20/2022"
"505387","WA","97.0","100.0","89.1","94.1","03/20/2022"
"505389","WA","83.9","92.0","74.4","59.4","03/20/2022"
"505390","WA","74.2","78.2","60.9","44.2","03/20/2022"
"505393","WA","95.6","95.8","36.8","84.8","03/20/2022"
"505395","WA","Not Available","Not Available","Not Available","Not Available","03/20/2022"
"505400","WA","90.0","84.1","75.6","41.4","03/20/2022"
"505401","WA","93.8","97.1","73.3","16.4","03/20/2022"
